pdbid ligid SMILES
3KVL 7Z5 CCC(=O)Nc1ccc(cc1C(=O)O)N(C)Cc2cccnc2
3KVK 6X1 c1ccc(c(c1)C(=O)O)NC(=O)Nc2cc(cc(c2)Cl)Cl
3KVJ 1X5 CN(Cc1cccnc1)c2ccc(c(c2)C(=O)O)NC(=O)C3CC3
5ZF8 9BO Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC=C(C)C(C)OC(=O)C)O)C=O
5ZF9 9BR Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC=C(C)CCC=C(C)C)O)C=O
5ZF7 CHW Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC=C(C)C(C)O)O)C=O
5ZF4 9BL Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC=C(C)C(=O)OC)O)C=O
6SYP M0B Cc1c(c(nn1c2c(cc(cn2)C3CC3)F)OC(C)C)Oc4c(cccc4F)F
4RR4 3V1 Cc1c(sc(n1)Cl)C(=O)Nc2cccc(c2)Oc3ccc(cc3)NC(=O)C(=C(C4CC4)O)C#N
4ZMG 4R5 COc1cccc(c1)c2cc(c(c(c2)F)NC(=O)Nc3cncs3)F
5ZFA 9BU Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC(=CCOC(=O)C(C)C)C)O)C=O
5HQE 64B COc1ccc(c(c1)F)N2C(=O)CSC2=C(C#N)C(=O)OC
4ZL1 18X COC(=O)C(=C1N(C(=O)CS1)c2ccc(cc2F)c3ccccc3)C#N
4JTU JTU CCC(C)c1ccc(cc1)c2c(c(c3cc(ccc3n2)Br)C(=O)O)C
5HIN 1KL CC(C)(C)c1ccc(cc1)NC(=O)c2ccc(cc2)N3C(=O)CSC3=C(C#N)C(=O)OC
4JTT JTT Cc1c(sc(n1)C)C(=O)Nc2ccc3ccccc3c2
6VND R4P Cc1ccccc1c2ccc(cc2)c3cc(c4c(c3)nnn4C)C(=O)O
4JTS JTS Cc1c(scn1)C(=O)Nc2ccc3ccccc3c2
2PRH 238 Cc1c(c2cc(ccc2nc1c3ccc(cc3)c4ccccc4F)Cl)C(=O)O
3G0X MD7 c1ccc(cc1)c2ccc(cc2)NC(=O)C(=C(C3CC3)O)C#N
4RLI 3SH CCOC(=O)c1c(nc(s1)Nc2ccc(c(c2)Cl)C)c3ccccc3
6IDJ 9AU CC(=CCCC(=CCCC(=CCC1=C(c2ccccc2OC1=O)O)C)C)C
2PRL R2C COc1ccc(c(c1)C(=O)O)Nc2ccc(cc2)Oc3ccccc3
3G0U MDY CC(=C(C#N)C(=O)Nc1ccc(cc1Cl)c2ccccc2OC)O
6M2B EZO CN(c1nc(cs1)c2ccccc2Cl)N=Cc3ccccc3C(=O)O
6OC1 1SU c1cc(cc(c1)C(F)(F)F)CC(=O)Nc2cc(ccc2F)Oc3ccc4c(c3C#N)sc(n4)NC(=O)C5CC5
6FMD DUH c1ccc(cc1)c2c(c(c(c(c2F)F)NC(=O)c3c4ccccn4nc3O)F)F
5MVC Y9B c1ccc(cc1)c2c(c(c(c(c2F)F)NC(=O)c3c(nsn3)O)F)F
6OC0 M4J c1ccc2c(c1)ccc3c2ccc(c3)c4cc(nn4c5ccc(cc5)NC(=O)CN)C(F)(F)F
2FQI ILH c1cc(cc(c1)OC(F)(F)F)c2c(c(c(c(c2F)F)NC(=O)C3=C(CC=C3)C(=O)O)F)F
2B0M 201 c1ccc(cc1)c2ccc(cc2)c3cc(cc(c3)C(=O)O)C(=O)N
5K9D FNR Cc1cc2c(cc1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)O)O)O)O
6ET4 SDV c1ccc2c(c1)c(on2)C(=O)NC3CCCc4c3cnn4c5ccccc5F
4YLW 52Y COc1ccc(cc1)c2ccc(c(c2)F)N3C(=O)CSC3=C(C#N)C(=O)OC
4RK8 3RV c1ccc2c(c1)cccc2C=C3C(=O)N=C(S3)Nc4ccc(cc4C(=O)O)F
1D3H A26 CC(=C(C#N)C(=O)Nc1ccc(cc1)C(F)(F)F)O
3FJL CJH CCOc1cccc(c1)c2ccc(cc2)NC(=O)C(=C(C)O)C#N
4RKA 3RY c1ccc2c(c1)cccc2CC3=SC(=NC3=O)Nc4ccccc4C(=O)O
4JGD 4JG Cc1c(sc(n1)Nc2ccc3ccccc3c2)C(=O)C
3F1Q BCE CC(=C(C#N)C(=O)Nc1ccc(cc1)c2ccccc2)O
3W7R W7A c1ccc(cc1)c2ccc(cc2)CCC3=C(NC(=O)NC3=O)C(=O)O
6J3B B5O CC(C)C1Cc2c(nnn2c3cc(c(c(c3)F)c4cc(ccc4F)CO)F)C(=O)C1
6J3C B5X CC(C)C1Cc2c(nnn2c3cc(c(c(c3)F)c4cccc(c4)N(C)C)F)C(=O)C1
6LP7 B6R COc1cccc(c1)c2c(cc(cc2F)n3c4c(nn3)C(=O)c5ccccc5C4=O)F
6LP8 B6O CN(C)c1cccc(c1)c2c(cc(cc2F)n3c4c(nn3)C(=O)c5ccccc5C4=O)F
6LP6 B6U c1ccc2c(c1)C(=O)c3c(n(nn3)c4cc(c(c(c4)F)c5cc(ccc5F)CO)F)C2=O
6QU7 JJE CCN1C(=NN(C1=O)c2cc(c(cc2F)C(=O)Nc3c(cccc3Cl)F)OC(C)C(F)(F)F)CO
6JMD BVO c1ccc2c(c1)C(=O)c3c(n(nn3)c4cc(c(c(c4)F)c5cccc(c5)CO)F)C2=O
6JME BVU c1ccc(c(c1)c2c(cc(cc2F)n3c4c(nn3)C(=O)c5ccccc5C4=O)F)F
2WV8 VGN CC(=O)Nc1ccc(cc1C(=O)O)c2ccc(cc2)c3ccccc3
5MUT HYT Cn1nc(c(n1)O)C(=O)Nc2c(c(c(c(c2F)F)c3ccccc3)F)F
6LZL AYR c1cc2c(cc1C=CC=CC(=O)N3CCCCC3)OCO2
6CJF F54 Cc1ccc(c(n1)Cl)c2ccc(cc2)c3c(c(c4cc(ccc4n3)F)C(=O)O)C
6CJG F51 Cc1c(c2ccncc2nc1c3ccc(cc3)c4ccccc4)C(=O)O
4IGH 1EA Cc1cc(c(cc1c2cc(c3cc(ccc3n2)F)C(=O)O)C(C)C)Oc4ccccc4
4OQV 2V6 Cc1cc(n2c(n1)nc(n2)C(F)(F)F)Nc3cc(c(c(c3)F)C(F)(F)F)F
5MVD U91 Cc1c(c(nn1C)O)C(=O)Nc2c(c(c(c(c2F)F)c3ccccc3)F)F
