pdbid ligid SMILES
2BXV 3FT c1cc(cc(c1)OC(F)(F)F)c2ccc(c(c2)F)NC(=O)C3=C(CCC3)C(=O)O
5ZFB 9BX Cc1c(c(c(c(c1Cl)O)CC=C(C)CCC=C(C)C=CC(=O)C(C)(C)O)O)C=O
5H73 7L7 COC(=O)C(=C1N(C(=O)CS1)c2ccccc2F)C#N
4LS2 3XS COc1cccc(c1)c2csc(n2)NN=Cc3ccccc3C(=O)O
2FPV ILC COc1cccc(c1)c2ccc(c(c2)F)NC(=O)c3ccsc3C(=O)O
4LS1 3X2 c1ccc(c(c1)C=NNc2nc(cs2)c3ccccc3Cl)C(=O)O
4JS3 JS3 Cc1c(sc(n1)Cl)C(=O)Nc2ccc3ccccc3c2
6GK0 F1W CC(C)(C)c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)NC(=O)CCCCN(C)C
4LS0 B3B c1ccc(cc1)c2csc(n2)NN=Cc3ccccc3C=O
7K2U VU7 Cc1c(c2cc(ccc2nc1c3ccc(cc3)c4ccccc4F)F)C(=O)NOC
2FPY ILF c1cc(cc(c1)OC(F)(F)F)c2cc(c(c(c2)F)NC(=O)c3ccsc3C(=O)O)F
5K9C MLJ c1ccc2c(c1)CCCC2NC(=O)CCNC(=O)c3ccc(cc3)OC(F)(F)F
3U2O 03U CCC(=C(C#N)C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)O
3FJ6 CIH CC(=C(C#N)C(=O)Nc1ccc(c(c1)Cl)c2ccccc2Cl)O
5H2Z 7GF COC(=O)C(=C1N(C(=O)CS1)c2ccc(cc2)Br)CN
2FPT ILB c1cc(cc(c1)OC(F)(F)F)c2cc(c(c(c2)F)NC(=O)C3=C(CCC3)C(=O)O)F
3ZWT KFZ CCc1cc(n2c(n1)nc(n2)SCc3cc(ccc3Cl)Cl)O
3ZWS AVQ Cc1cc(n2c(n1)nc(n2)SCc3cc(ccc3Cl)Cl)O
3KVM 951 c1ccc(c(c1)c2ccc(o2)C=NNc3ccccc3C(=O)O)Cl
